0931;el. Last;ELWE;BS10.8;;;;W109;K6;F7;Lehrsysteme;E-Maschinenlabor (W109);/intra/woda/data/ela/img/931.jpg;;;;;;;;;;
0932;Messtafel;ELWE;M13;;;1005010;W109;K6;F7;Lehrsysteme;E-Maschinenlabor (W109);/intra/woda/data/ela/img/932.jpg;;;;;;;;;;
0933;Digitaler Signalprozessor;Analog Devices;ADSP-BF533;;;;W92;K14;F1;Mikrocontroller;Regeltechniklabor (W92);;;;;;;;;;;
0934;Anlasser;VDE;260V / 5,5kW;;540-29/6/79;152231;W109;T1;F5;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/934.jpg;;;;;;;;;;
0935;Anlasser;VDE;260V / 5,5kW;;540-29/7/79;125659;W109;T1;F6;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/934.jpg;;;;;;;;;;
0936;Anlasser;VDE;260V / 5,5kW;;540-29/8/79;152233;W109;T1;F6;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/934.jpg;;;;;;;;;;
0937;Drehstromzähler;Landis;2 Stück;;;413062, 413063;W109;T1;F6;Übungs-und Laboraufbauten;E-Maschinenlabor (W109);;;;;;;;;;;
0938;Drehstromzähler;Siemens;;;;;W109;T1;F5;Übungs-und Laboraufbauten;E-Maschinenlabor (W109);;;;;;;;;;;
0939;Drehstromzähler;AEG;;;;15032645;W109;T1;F5;Übungs-und Laboraufbauten;E-Maschinenlabor (W109);;;;;;;;;;;
0940;Blitzsimulation/Zubehör;HTL;Tag der offenen Tür;;Elektrotechnik;;W109;T1;F2;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/940.jpg;;;;;;;;;;
0941;Montagezubehör;;;;;;W109;T3;F1;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/941.jpg;;;;;;;;;;
0942;Montagezubehör;;;;;;W109;T3;F2;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/942.jpg;;;;;;;;;;
0943;Dämpfung für Tisch;;;;;;W109;T3;F3;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/943.jpg;;;;;;;;;;
0944;Schutz;;;;;;W109;T3;F4;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/944.jpg;;;;;;;;;;
0945;Digitaler Signalprozessor;Analog Devices;ADSP-BF533;;;;W92;K14;F1;Mikrocontroller;Regeltechniklabor (W92);;;;;;;;;;;
0946;Digitaler Signalprozessor;Analog Devices;ADSP-BF533;;;;W92;K14;F1;Mikrocontroller;Regeltechniklabor (W92);;;;;;;;;;;
0948;Tastatur;Cherry;PS2;;;;W92;K15;;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0949;Tastatur;Cherry;PS1;;;;W92;K15;;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0950;Direct Digital Synthesizers;Analog Devices;AD9953/PCB;;;;W92;K14;F1;Mikrocontroller;Regeltechniklabor (W92);;;;;;;;;;;
0951;Servomotor;Bernegger&Rainer;;;;;W109;T5;F5;Servo;E-Maschinenlabor (W109);;;;;;;;;;;
0952;Elektrostatik-Pistole;UEI;Dito;;540-23/2006/1;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/985.jpg;;;;;;;;;;
0953;Induktivität;HTL;26mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/953.jpg;;;;;;;;;;
0954;Induktivität;HTL;26mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/953.jpg;;;;;;;;;;
0955;Induktivität;HTL;26mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/953.jpg;;;;;;;;;;
0956;Induktivität;HTL;20 / 113 /113 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/956.jpg;;;;;;;;;;
0957;SPS;Bernegger&Rainer;PP65;40000082045;;A9640172897;W109;T5;;Servo;E-Maschinenlabor (W109);;;;;;;;;;;
0958;SPS;Bernegger&Rainer;;;;;W109;T5;;Servo;E-Maschinenlabor (W109);;;;;;;;;;;
0959;SPS;Bernegger&Rainer;;;;;W109;T5;;Servo;E-Maschinenlabor (W109);;;;;;;;;;;
0960;SPS;Bernegger&Rainer;;;;;W109;T5;;Servo;E-Maschinenlabor (W109);;;;;;;;;;;
0961;Induktivität;HTL;20 / 113 /113 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/956.jpg;;;;;;;;;;
0962;Induktivität;HTL;20 / 113 /113 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/956.jpg;;;;;;;;;;
0963;Induktivität;HTL;2x 4,1 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/963.jpg;;;;;;;;;;
0964;Induktivität;HTL;2x 6,2 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/963.jpg;;;;;;;;;;
0965;Induktivität;HTL;5,7 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/965.jpg;;;;;;;;;;
0966;Induktivität;HTL;5,7 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/965.jpg;;;;;;;;;;
0967;Induktivität;HTL;5,7 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/965.jpg;;;;;;;;;;
0968;Induktivität;HTL;9,7 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/968.jpg;;;;;;;;;;
0969;Induktivität;HTL;7,5 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/968.jpg;;;;;;;;;;
0970;Induktivität;HTL;14 - 260 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/970.jpg;;;;;;;;;;
0971;Induktivität;HTL;15 - 260 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/970.jpg;;;;;;;;;;
0972;Induktivität;HTL;16 - 260 mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/970.jpg;;;;;;;;;;
0973;Induktivität;HTL;2,8mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/970.jpg;;;;;;;;;;
0974;Induktivität;HTL;750mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/974.jpg;;;;;;;;;;
0975;Induktivität;HTL;625mH;;;;W109;K8;;Induktivität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/974.jpg;;;;;;;;;;
0976;Netzanschlussbox;HTL;;;ELA 976;;W109;K7;;EMV;E-Maschinenlabor (W109);;;;;;;;;;;
0977;PC - Netzteil;Tiger;200W;;ELA 977;822667;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/977.jpg;;;;;;;;;;
0978;Funkentstörfilter;Siemens;4x16A;;ELA 978;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/981.jpg;;;;;;;;;;
0979;PC - Netzteil;YeongYang;SQA4280;;ELA 979;22805722;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/979.jpg;;;;;;;;;;
0980;Überspannungsschutz;;;;ELA 980;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/980.jpg;;;;;;;;;;
0981;Bauteile für Steckplatte;HTL;;;;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/978.jpg;;;;;;;;;;
0982;Videorekordnetzgerät;HTL;;;;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/982.jpg;;;;;;;;;;
0983;Kabel;;;;ELA 983;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/980.jpg;;;;;;;;;;
0984;Filter;;;;ELA 984;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/984.jpg;;;;;;;;;;
0985;Monitor;;;;;;W109;K7;;EMV;E-Maschinenlabor (W109);;;;;;;;;;;
0986;Metallfolienkondensatoren;HTL;0,5-10µF;;ELA - 986;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0987;Metallfolienkondensatoren;HTL;0,5-10µF;;ELA - 987;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0988;Metallfolienkondensatoren;HTL;3 x 17µF;;ELA - 988;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0989;Metallfolienkondensatoren;HTL;10,20,50 µF;;ELA - 989;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0990;Metallfolienkondensatoren;HTL;1, 2, 5 µF;;ELA - 990;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0991;Metallfolienkondensatoren;HTL;15, 15, 19 µF;;ELA - 991;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0992;Metallfolienkondensatoren;HTL;1, 2, 2, 5 µF;;ELA - 992;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0993;Metallfolienkondensatoren;HTL;1, 2, 2, 5 µF;;ELA - 993;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0994;Metallfolienkondensatoren;HTL;10, 20, 20, 50 µF;;ELA - 994;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0995;Metallfolienkondensatoren;HTL;2 x 50µF;;ELA - 995;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0996;Metallfolienkondensatoren;HTL;10, 20, 20, 50 µF;;ELA - 996;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0997;Metallfolienkondensatoren;HTL;2 x 50µF;;ELA - 997;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
0998;Metallfolienkondensatoren;HTL;2 x 50µF;;ELA - 998;;W109;K10;;Kapazität;E-Maschinenlabor (W109);/intra/woda/data/ela/img/986.jpg;;;;;;;;;;
1000;Fernsteuerung ;HTL;C;;ElA -1000;;W109;T2;F1;Schalter;E-Maschinenlabor (W109);/intra/woda/data/ela/img/999.jpg;;;;;;;;;;
1001;Fernsteuerung ;HTL;B;;ElA -1001;;W109;T2;F1;Schalter;E-Maschinenlabor (W109);/intra/woda/data/ela/img/999.jpg;;;;;;;;;;
1002;Fernsteuerung ;HTL;A;;ELA - 1002;;W109;T2;F1;Schalter;E-Maschinenlabor (W109);/intra/woda/data/ela/img/999.jpg;;;;;;;;;;
1003;Direct Digital Synthesizers;Analog Devices;AD9952/PCB;;;;W92;K14;F1;Mikrocontroller;Regeltechniklabor (W92);;;;;;;;;;;
1004;Transformator;Siemens;2kVA;;510-2/1/72;1050;W109;K5;F14;Transformator;E-Maschinenlabor (W109);/intra/woda/data/ela/img/1004.jpg;;;;;;;;;;
1007;Lehrsystem_Miniböck;Miniböck;;;540-27/2006/1/1;;W109;T5;F6;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/1007.jpg;;;;;;;;;;
1008;Lehrsystem_Miniböck;Miniböck;;;540-27/2006/1/2;;W109;T5;F6;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/1007.jpg;;;;;;;;;;
1009;Multi_I/O-Board;National_Instruments;SC-2075;;ELA-1009;11DB785;W92;K11;F1;automatisierte_Messsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/1017.jpg;;;;;;;;;;
1010;Multi_I/O-Board;National_Instruments;SC-2027;;ELA-1010;11DB76F;W92;K11;F1;automatisierte_Messsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/1017.jpg;;;;;;;;;;
1011;Multi_I/O-Board;National_Instruments;SC-2075;;ELA-1011;11DB77E;W92;K11;F1;automatisierte_Messsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/1017.jpg;;;;;;;;;;
1012;Multi_I/O-Board;National_Instruments;SC-2027;;ELA-1012/2006;11DB782;W92;K11;F2;automatisierte_Messsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/1017.jpg;;;;;;;;;;
1013;Funktionsgenerator;National_Instruments;BNC-2120;;ELA-1013;D6A569;W92;K11;F3;automatisierte_Messsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/1013.jpg;;;;;;;;;;
1014;Digiboard;Forson;;312000560863;540-27/2000/11;Koffer 1 + 2;W92;K18;F3;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1015;USB_Soundblaster;Creative_Labs;24BIt;;ELA-1015/2005;M1SB030041500633;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/1015.jpg;;;;;;;;;;
1016;USB_Soundblaster;Creative_Labs;SB0300;;ELA-1016/2005;M1SB0300415006331W;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/1015.jpg;;;;;;;;;;
1017;ADC / DAC;National_Instruments;NI USB-6211;312000562457;540-23/2006/3/1;E5767A;W92;K11;F2;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1018;ADC / DAC;National_Instruments;NI USB-6211;312000562458;540-23/2006/3/2;E57640;W92;K11;F2;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1019;ADC / DAC;National_Instruments;NI USB-6211;312000562459;540-23/2006/3/3;E57639;W92;K11;F2;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1020;ADC / DAC;National_Instruments;NI USB-6211;312000562460;540-23/2006/3/4;E57641;W92;K11;F2;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1021;ADC / DAC;National_Instruments;NI USB-6211;312000562461;540-23/2006/3/5;E57665;W92;K11;F2;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1022;Laptop;Acer;TravelMate_4080;312000562411;408-01/2006/14/1;63001298125;W094;K2;F8;Computer;Laborant (W094b);/intra/woda/data/ela/img/1022.jpg;;;;;;;;;;
1023;Laptop;Acer;TravelMate_4080;312000562410;408-01/2006/14/2;6300 1290525;W094;K2;F8;Computer;Laborant (W094b);/intra/woda/data/ela/img/1022.jpg;;;;;;;;;;
1024;Laptop;Acer;TravelMate_4080;312000562412;408-01/2006/14/4;6300 1300825;W094;K2;F8;Computer;Laborant (W094b);/intra/woda/data/ela/img/1022.jpg;;;;;;;;;;
1026;Digiboard;HPS;3600.1;;ELA-1026;Koffer 1 + 2;W92;K18;F3;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/1026.jpg;;;;;;;;;;
1027;Software;National_Instruments;License_Manager_Vers.2.0F1;;ELA-1027;;W92;K11;F3;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1028;Software;National_Instruments;LabVIEW_7.1;;;;W92;K11;F3;automatisierte_Messsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/608.jpg;;;;;;;;;;
1029;Software;National_Instruments;LabVIEW_8.0;;;;W92;K11;F3;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1030;Funktionsgenerator;National_Instruments;BNC2120;;ELA-1030;D6A58A;W92;K11;F3;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1031;Kamera-Stativ;Cullmann;54100;;ELA 1031;;W094;K1;F2;Computer;Laborant (W094b);;;;;;;;;;;
1032;Handwerkzeugbox;RS-Components;;;ElA-1032;;W094;S1;F1;Werkzeug;Laborant (W094b);/intra/woda/data/ela/img/1032_1033_1034_1035_1036_1037.jpg;;;;;;;;;;
1033;Handwerkzeugbox;RS-Components;;;;;W094;S1;F1;Werkzeug;Laborant (W094b);intra/woda/data/ela/img/1032_1033_1034_1035_1036_1037.jpg;;;;;;;;;;
1034;Handwerkzeugbox;RS-Components;;;;;W094;S1;F1;Werkzeug;Laborant (W094b);intra/woda/data/ela/img/1032_1033_1034_1035_1036_1037.jpg;;;;;;;;;;
1035;Handwerkzeugbox;RS-Components;;;;;W094;S1;F1;Werkzeug;Laborant (W094b);intra/woda/data/ela/img/1032_1033_1034_1035_1036_1037.jpg;;;;;;;;;;
1036;Handwerkzeugbox;RS-Components;;;;;W094;S1;F1;Werkzeug;Laborant (W094b);intra/woda/data/ela/img/1032_1033_1034_1035_1036_1037.jpg;;;;;;;;;;
1037;Handwerkzeugbox;RS-Components;;;;;W094;S1;F1;Werkzeug;Laborant (W094b);intra/woda/data/ela/img/1032_1033_1034_1035_1036_1037.jpg;;;;;;;;;;
1038;Lötstation;Stannol;Industa300 30W;;ELA - 1038 / 2006;764000/811181;W094;S1;F2;Werkzeug;Laborant (W094b);;;;;;;;;;;
1039;Lötstation;Stannol;Industa300 30W;;ELA-1039 / 2006;764000/811181;W094;S1;F2;Werkzeug;Laborant (W094b);;;;;;;;;;;
1040;Bode Vektor Network Analyzer;Omicron Lab;Bode 100;312000563131;540-23/2007/1/1;BJ089C;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/1040.jpg;;;;;;;;;;
1041;Bode Vector Network Analyzer;Omicron Lab;Bode100;312000563132;540-23/2007/1/2;BJ083C;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/1040.jpg;;;;;;;;;;
1042;Gauss / Teslameter;F.W. Bell;Modell 5080;;540-24/9/98;;W096;R5;F2;Messgerät;ELA-Magazin (W096);;;;;;;;;;;
1046;Bandpass 250 Hz;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1047;Bandpass 150 Hz;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1048;Bandpass 350 Hz;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1049;Filter mit MAX293;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1050;sin cos Generator;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1051;Aktive Richtantenne;Rohde&Schwarz;HE200;312000562528;540-23/2006/5;102381;W92;K14;F3;Hochfrequenztechnik;Regeltechniklabor (W92);;;;;;;;;;;
1052;Multiplizierer;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1053;Multiplizierer;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1054;U/f Konverter;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1055;U/f Konverter;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1056;U/f Konverter;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1057;U/f Konverter;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1058;Universalaufbauplatte;HPS;1012.1;;540-28/5/98;;W92;K4;F1;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00170.jpg;;;;;;;;;;
1059;Universalaufbauplatte;HPS;1012.1;;540-28/4/98;;W92;K4;F1;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00169.jpg;;;;;;;;;;
1060;RCL-Messbrücke;Escort;ELC-131D;;540-24/3/98;70520152;W096;R3;F3;Messgerät;ELA-Magazin (W096);;;;;;;;;;;
1061;Distance Meter;Roline;;;;;W096;R3;F4;Messgerät;ELA-Magazin (W096);;;;;;;;;;;
1062;Multiplizierer;HTL;;;;;W096;R6;F2;Übungs-und Laboraufbauten;ELA-Magazin (W096);;;;;;;;;;;
1063;Direct Digital Synthesizers;Analog Devices;;;;;W92;K14;F1;Mikrocontroller;Regeltechniklabor (W92);;;;;;;;;;;
1064;Zubehör für Netzwerkanalysator;;;;;;W92;K14;F1;Messgerät;Regeltechniklabor (W92);;;;;;;;;;;
1065;Active Close Field Probes;Hameg Instruments;HZ 530;;;;W109;K7;;EMV;E-Maschinenlabor (W109);;;;;;;;;;;
1067;DSP BLACKFIN;;;;;;W92;K14;;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1068;CM_Directional Coupler;Anritsu;MP5200;312000560829;540-23/2000/21;;W92;K14;F2;Hochfrequenztechnik;Regeltechniklabor (W92);;;;;;;;;;;
1069;Signal- und Funktionsgenerator 0649,0597;Rohde&Schwarz;SM300 ;;;;W92;K14;;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1070;Software Spectrum Analyzer;HP;E4444A;;;;W92;K14;F3;Hochfrequenztechnik;Regeltechniklabor (W92);;;;;;;;;;;
1071;Barcode Scanner;;;;;;W92;K15;;Computer;Regeltechniklabor (W92);;;;;;;;;;;
1072;Lüfter;;;;;;W92;K13;F1;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
1073;3 Lüfter;;;;;;W92;K13;F1;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
1074;XY - Schreiber;ABB Goerz;SE790;;;;W92;K1;F5;Drucker / Plotter;Regeltechniklabor (W92);;;;;;;;;;;
1076;Leistungselektronik;HPS;V0017;;;;W92;K3;F1;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1077;digitale Modulation;HPS;V0065;;;;W92;K3;F1;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1078;Regelungstechnik;HPS;V0120;;;;W92;K3;F1;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1079;Digitaltechnik;HPS;V0160;;;;W92;K3;F1;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1080;Sensortechnik;HPS;V0032;;;;W92;K3;F1;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1081;statische Verknüpfung;HPS;V0035;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1082;Digitaltechnik;HPS;V0035;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1083;Digitaltechnik;HPS;V0036;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1084;Analogtechnik;HPS;V0047;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1085;Analogtechnik;HPS;V0047;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1086;Analogtechnik;HPS;V0048;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1087;Analogtechnik;HPS;V0049;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1088;Nachrichtentechnik;HPS;V0061;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1089;Leistungselektronik;Leybold;Stromrichter;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1090;Can-Bus;Leybold;DMS;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1091;Phased locked loop;Leybold;;;;;W92;K3;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1094;Hochtöner;GPL;;;;;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
1095;Labwoofer;;;;;;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
1097;Cisco IOS Software;;;;;;W92;K12;F2;Bedienungsanleitung;Regeltechniklabor (W92);;;;;;;;;;;
1098;Anschlussbox Netzteil;HTL;;;;;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
1099;Lautsprecher;Excel;W17EX002;;;;W92;K16;F2;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
1100;Lautsprecher;I.T. Electronic GmbH;;;;;W92;K16;F2;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
1101;+/-15V, +5V | 2A;HPS;1002;;540-28/5/78;HPS_27;W92;K5;F1;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00190.jpg;;;;;;;;;;
1102;+/-15V, +5V | 2A;HPS;1002;;540-14/4/87;HPS_28;W92;K5;F1;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00190.jpg;;;;;;;;;;
1103;+/-15V, +5V | 2A;HPS;1002;;540-28/6/87;HPS_29;W92;K5;F2;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00190.jpg;;;;;;;;;;
1104;+/-15V, +5V | 2A;HPS;1002;;;HPS_30;W92;K5;F2;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00190.jpg;;;;;;;;;;
1105;ASK-FSK-PSK-Modulator;HPS;4252;;;HPS_31;W92;K5;F3;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00195.jpg;;;;;;;;;;
1106;ASK-FSK-PSK-Modulator;HPS;4253;;;HPS_32;W92;K5;F3;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00195.jpg;;;;;;;;;;
1107;Phasenstarrer Generator;HPS;4251;;540-28/11/92;HPS_33;W92;K5;F3;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1108;Mikro;AV-JEFE;AVL2600;;;;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
1109;Thyristorbrücke;HTL;;;;HPS_38;W92;K5;F4;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1110;Lampen;HTL;;;;HPS_39;W92;K5;F4;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1111;Last 200W;HPS;5501;;;HPS_40;W92;K5;F4;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1112;Transistor-Messplatte;HTL;;;;HPS_41;W92;K5;F4;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1113;PWM Steuergerät;Leybold;735 341;312000560858;540-27/2000/2;HPS_42a;W92;K6;F1;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1114;PWM Steuergerät;Leybold;735 341;312000562260;540-30/2005/1;HPS_42b;W92;K6;F1;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1115;10 Gang-PID-Regler;Leybold;734 063;;540-28/3/96;HPS_43a;W92;K6;F1;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1116;10 Gang-PID-Regler;Leybold;734 063;312000562294;540-30/2005/1;HPS_43b;W92;K6;F1;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
1117;Mikro;AV-JEFE;AVL2600;;;;W92;K16;F1;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
